Codeunit ID	Codeunit Name	Parameters	No. of Sessions	Run in Foreground	Description	Status	Min. User Delay (ms)	Max. User Delay (ms)	Delay between iterations (sec.)	Delay Type	No. of Iterations	Total Duration (ms)	Average Duration (ms)	No. of SQL Statements	Avg. No. of SQL Statements	No. of Iterations Base	Total Duration Base (ms)	Average Duration Base (ms)	No. of SQL Statements Base	Avg. No. of SQL Statements Base	Change in No. of SQL Statements (%)	Change in Duration (%)
50101	T0 Rental Analytics		1	No		Completed	100	1000	5	Fixed	4	671962	167990	77750	19437	0	0	0	0	0	0,00	0,00
50118	T0 Data Aggregation		1	No		Completed	100	1000	5	Fixed	6	622649	103774	51	8	0	0	0	0	0	0,00	0,00
50102	T0 Lease Management		1	No		Completed	100	1000	5	Fixed	117	20086	171	257	2	0	0	0	0	0	0,00	0,00
50108	T0 Security Management		1	No		Completed	100	1000	5	Fixed	13	561380	43183	26	2	0	0	0	0	0	0,00	0,00
50112	T0 Payment Processing		1	No		Completed	100	1000	5	Fixed	22	515830	23446	86	3	0	0	0	0	0	0,00	0,00
50107	T0 Maintenance Scheduling		1	No		Completed	100	1000	5	Fixed	121	802	6	53	0	0	0	0	0	0	0,00	0,00
50119	T0 Report Generation		1	No		Completed	100	1000	5	Fixed	2	683631	341815	310	155	0	0	0	0	0	0,00	0,00
50103	T0 Property Operations		1	No		Completed	100	1000	5	Fixed	42	404934	9641	129	3	0	0	0	0	0	0,00	0,00
50120	T0 Business Intelligence		1	No		Completed	100	1000	5	Fixed	9	576901	64100	43257	4806	0	0	0	0	0	0,00	0,00
