Tag	Version No.	Start Time	End Time	Codeunit ID	Codeunit Name	Session No.	Operation	Message	Duration (ms)	No. of SQL Statements	Status	Call stack
	1	2025-09-07 12:28:53,387	2025-09-07 12:28:53,413	50302	T2 Lease Management	1266	Scenario		25	4	Success	
	1	2025-09-07 12:28:53,413	2025-09-07 12:28:54,387	50307	T2 Maintenance Scheduling	1269	Scenario		972	2	Success	
	1	2025-09-07 12:28:53,437	2025-09-07 12:28:57,54	50303	T2 Property Operations	1271	Scenario		4103	4	Success	
	1	2025-09-07 12:28:58,423	2025-09-07 12:28:58,443	50302	T2 Lease Management	1266	Scenario		21	3	Success	
	1	2025-09-07 12:28:59,423	2025-09-07 12:29:00,62	50307	T2 Maintenance Scheduling	1269	Scenario		1197	2	Success	
	1	2025-09-07 12:29:03,453	2025-09-07 12:29:03,483	50302	T2 Lease Management	1266	Scenario		29	3	Success	
	1	2025-09-07 12:29:02,577	2025-09-07 12:29:04,867	50303	T2 Property Operations	1271	Scenario		2290	2	Success	
	1	2025-09-07 12:29:05,627	2025-09-07 12:29:07,733	50307	T2 Maintenance Scheduling	1269	Scenario		2107	2	Success	
	1	2025-09-07 12:29:08,5	2025-09-07 12:29:08,553	50302	T2 Lease Management	1266	Scenario		52	3	Success	
	1	2025-09-07 12:29:09,89	2025-09-07 12:29:11,17	50303	T2 Property Operations	1271	Scenario		1278	2	Success	
	1	2025-09-07 12:29:13,577	2025-09-07 12:29:13,623	50302	T2 Lease Management	1266	Scenario		46	3	Success	
	1	2025-09-07 12:29:12,733	2025-09-07 12:29:14,08	50307	T2 Maintenance Scheduling	1269	Scenario		1345	2	Success	
	1	2025-09-07 12:28:53,457	2025-09-07 12:29:14,327	50320	T2 Business Intelligence	1272	Scenario		20870	5	Success	
	1	2025-09-07 12:29:16,187	2025-09-07 12:29:18,18	50303	T2 Property Operations	1271	Scenario		1993	2	Success	
	1	2025-09-07 12:29:18,657	2025-09-07 12:29:18,69	50302	T2 Lease Management	1266	Scenario		35	3	Success	
	1	2025-09-07 12:29:19,093	2025-09-07 12:29:20,93	50307	T2 Maintenance Scheduling	1269	Scenario		1836	2	Success	
	1	2025-09-07 12:29:23,72	2025-09-07 12:29:23,757	50302	T2 Lease Management	1266	Scenario		37	3	Success	
	1	2025-09-07 12:28:53,403	2025-09-07 12:29:24,197	50312	T2 Payment Processing	1268	Scenario		30794	3	Success	
	1	2025-09-07 12:29:23,173	2025-09-07 12:29:24,633	50303	T2 Property Operations	1271	Scenario		1460	2	Success	
	1	2025-09-07 12:29:25,923	2025-09-07 12:29:26,98	50307	T2 Maintenance Scheduling	1269	Scenario		1058	2	Success	
	1	2025-09-07 12:29:28,78	2025-09-07 12:29:28,8	50302	T2 Lease Management	1266	Scenario		20	3	Success	
	1	2025-09-07 12:28:53,393	2025-09-07 12:29:28,917	50308	T2 Security Management	1267	Scenario		35522	2	Success	
	1	2025-09-07 12:28:53,383	2025-09-07 12:29:29,657	50318	T2 Data Aggregation	1265	Scenario		36274	7	Success	
	1	2025-09-07 12:29:29,627	2025-09-07 12:29:30,31	50303	T2 Property Operations	1271	Scenario		685	2	Success	
	1	2025-09-07 12:29:32	2025-09-07 12:29:32,867	50307	T2 Maintenance Scheduling	1269	Scenario		866	2	Success	
	1	2025-09-07 12:29:33,813	2025-09-07 12:29:33,83	50302	T2 Lease Management	1266	Scenario		18	3	Success	
	1	2025-09-07 12:29:35,313	2025-09-07 12:29:38,413	50303	T2 Property Operations	1271	Scenario		3100	2	Success	
	1	2025-09-07 12:29:38,843	2025-09-07 12:29:38,877	50302	T2 Lease Management	1266	Scenario		33	3	Success	
	1	2025-09-07 12:29:37,877	2025-09-07 12:29:39,697	50307	T2 Maintenance Scheduling	1269	Scenario		1823	2	Success	
	1	2025-09-07 12:29:19,347	2025-09-07 12:29:43,667	50320	T2 Business Intelligence	1272	Scenario		24320	3	Success	
	1	2025-09-07 12:29:43,877	2025-09-07 12:29:43,9	50302	T2 Lease Management	1266	Scenario		25	3	Success	
	1	2025-09-07 12:29:43,423	2025-09-07 12:29:44,957	50303	T2 Property Operations	1271	Scenario		1535	2	Success	
	1	2025-09-07 12:29:29,203	2025-09-07 12:29:45,28	50312	T2 Payment Processing	1268	Scenario		16077	3	Success	
	1	2025-09-07 12:29:44,72	2025-09-07 12:29:45,883	50307	T2 Maintenance Scheduling	1269	Scenario		1165	2	Success	
	1	2025-09-07 12:29:48,923	2025-09-07 12:29:48,94	50302	T2 Lease Management	1266	Scenario		18	3	Success	
	1	2025-09-07 12:29:49,953	2025-09-07 12:29:51,27	50303	T2 Property Operations	1271	Scenario		1318	2	Success	
	1	2025-09-07 12:29:50,877	2025-09-07 12:29:53,243	50307	T2 Maintenance Scheduling	1269	Scenario		2369	2	Success	
