Codeunit ID	Codeunit Name	Parameters	No. of Sessions	Run in Foreground	Description	Status	Min. User Delay (ms)	Max. User Delay (ms)	Delay between iterations (sec.)	Delay Type	No. of Iterations	Total Duration (ms)	Average Duration (ms)	No. of SQL Statements	Avg. No. of SQL Statements	No. of Iterations Base	Total Duration Base (ms)	Average Duration Base (ms)	No. of SQL Statements Base	Avg. No. of SQL Statements Base	Change in No. of SQL Statements (%)	Change in Duration (%)
50201	T1 Rental Analytics		1	No		Completed	100	1000	5	Fixed	5	668022	133604	277	55	0	0	0	0	0	0,00	0,00
50218	T1 Data Aggregation		1	No		Completed	100	1000	5	Fixed	6	583257	97209	49	8	0	0	0	0	0	0,00	0,00
50202	T1 Lease Management		1	No		Completed	100	1000	5	Fixed	116	26866	231	375	3	0	0	0	0	0	0,00	0,00
50208	T1 Security Management		1	No		Completed	100	1000	5	Fixed	12	556555	46379	25	2	0	0	0	0	0	0,00	0,00
50212	T1 Payment Processing		1	No		Completed	100	1000	5	Fixed	94	139414	1483	71	0	0	0	0	0	0	0,00	0,00
50207	T1 Maintenance Scheduling		1	No		Completed	100	1000	5	Fixed	120	3047	25	28	0	0	0	0	0	0	0,00	0,00
50219	T1 Report Generation		1	No		Completed	100	1000	5	Fixed	76	228184	3002	203	2	0	0	0	0	0	0,00	0,00
50203	T1 Property Operations		1	No		Completed	100	1000	5	Fixed	40	411876	10296	124	3	0	0	0	0	0	0,00	0,00
50220	T1 Business Intelligence		1	No		Completed	100	1000	5	Fixed	11	563363	51214	55050	5004	0	0	0	0	0	0,00	0,00
