Tag	Version No.	Start Time	End Time	Codeunit ID	Codeunit Name	Session No.	Operation	Message	Duration (ms)	No. of SQL Statements	Status	Call stack
	1	2025-09-08 14:34:51,857	2025-09-08 14:34:51,933	50502	T4 Lease Management	1813	Scenario		78	4	Success	
	1	2025-09-08 14:34:51,867	2025-09-08 14:34:51,93	50508	T4 Security Management	1814	Scenario		66	4	Success	
	1	2025-09-08 14:34:51,953	2025-09-08 14:34:52,45	50520	T4 Business Intelligence	1819	Scenario		498	54	Success	
	1	2025-09-08 14:34:51,88	2025-09-08 14:34:53,227	50507	T4 Maintenance Scheduling	1816	Scenario		1347	4	Success	
	1	2025-09-08 14:34:51,937	2025-09-08 14:34:55,427	50519	T4 Report Generation	1817	Scenario		3489	3	Success	
	1	2025-09-08 14:34:51,873	2025-09-08 14:34:55,74	50512	T4 Payment Processing	1815	Scenario		3868	5	Success	
	1	2025-09-08 14:34:51,947	2025-09-08 14:34:56,343	50503	T4 Property Operations	1818	Scenario		4396	7	Success	
	1	2025-09-08 14:34:56,977	2025-09-08 14:34:56,977	50508	T4 Security Management	1814	Scenario		1	0	Success	
	1	2025-09-08 14:34:56,977	2025-09-08 14:34:56,98	50502	T4 Lease Management	1813	Scenario		2	0	Success	
	1	2025-09-08 14:34:57,697	2025-09-08 14:34:57,76	50520	T4 Business Intelligence	1819	Scenario		64	1	Success	
	1	2025-09-08 14:34:58,243	2025-09-08 14:34:58,243	50507	T4 Maintenance Scheduling	1816	Scenario		0	0	Success	
	1	2025-09-08 14:35:00,747	2025-09-08 14:35:00,75	50512	T4 Payment Processing	1815	Scenario		3	0	Success	
	1	2025-09-08 14:35:00,447	2025-09-08 14:35:00,937	50519	T4 Report Generation	1817	Scenario		489	1	Success	
	1	2025-09-08 14:35:01,337	2025-09-08 14:35:01,337	50503	T4 Property Operations	1818	Scenario		1	0	Success	
	1	2025-09-08 14:35:01,977	2025-09-08 14:35:01,977	50508	T4 Security Management	1814	Scenario		1	0	Success	
	1	2025-09-08 14:35:01,977	2025-09-08 14:35:01,977	50502	T4 Lease Management	1813	Scenario		1	0	Success	
	1	2025-09-08 14:35:02,76	2025-09-08 14:35:02,82	50520	T4 Business Intelligence	1819	Scenario		60	1	Success	
	1	2025-09-08 14:35:03,243	2025-09-08 14:35:03,243	50507	T4 Maintenance Scheduling	1816	Scenario		1	0	Success	
	1	2025-09-08 14:35:05,79	2025-09-08 14:35:05,79	50512	T4 Payment Processing	1815	Scenario		0	0	Success	
	1	2025-09-08 14:35:06,337	2025-09-08 14:35:06,337	50503	T4 Property Operations	1818	Scenario		1	0	Success	
	1	2025-09-08 14:35:05,93	2025-09-08 14:35:06,407	50519	T4 Report Generation	1817	Scenario		476	1	Success	
	1	2025-09-08 14:35:06,977	2025-09-08 14:35:06,977	50508	T4 Security Management	1814	Scenario		0	0	Success	
	1	2025-09-08 14:35:06,977	2025-09-08 14:35:06,977	50502	T4 Lease Management	1813	Scenario		0	0	Success	
	1	2025-09-08 14:35:07,82	2025-09-08 14:35:07,943	50520	T4 Business Intelligence	1819	Scenario		123	1	Success	
	1	2025-09-08 14:35:08,243	2025-09-08 14:35:08,243	50507	T4 Maintenance Scheduling	1816	Scenario		1	0	Success	
	1	2025-09-08 14:35:10,79	2025-09-08 14:35:10,79	50512	T4 Payment Processing	1815	Scenario		1	0	Success	
	1	2025-09-08 14:35:11,337	2025-09-08 14:35:11,337	50503	T4 Property Operations	1818	Scenario		1	0	Success	
	1	2025-09-08 14:35:11,993	2025-09-08 14:35:11,993	50502	T4 Lease Management	1813	Scenario		0	0	Success	
	1	2025-09-08 14:35:11,993	2025-09-08 14:35:11,993	50508	T4 Security Management	1814	Scenario		0	0	Success	
	1	2025-09-08 14:35:11,4	2025-09-08 14:35:12,093	50519	T4 Report Generation	1817	Scenario		692	1	Success	
	1	2025-09-08 14:35:12,947	2025-09-08 14:35:13,06	50520	T4 Business Intelligence	1819	Scenario		114	1	Success	
	1	2025-09-08 14:35:13,26	2025-09-08 14:35:13,26	50507	T4 Maintenance Scheduling	1816	Scenario		0	0	Success	
	1	2025-09-08 14:35:15,79	2025-09-08 14:35:15,79	50512	T4 Payment Processing	1815	Scenario		1	0	Success	
	1	2025-09-08 14:35:16,337	2025-09-08 14:35:16,337	50503	T4 Property Operations	1818	Scenario		1	0	Success	
	1	2025-09-08 14:35:17,01	2025-09-08 14:35:17,01	50502	T4 Lease Management	1813	Scenario		0	0	Success	
	1	2025-09-08 14:35:17,01	2025-09-08 14:35:17,01	50508	T4 Security Management	1814	Scenario		0	0	Success	
	1	2025-09-08 14:35:17,117	2025-09-08 14:35:17,55	50519	T4 Report Generation	1817	Scenario		431	1	Success	
	1	2025-09-08 14:35:18,07	2025-09-08 14:35:18,143	50520	T4 Business Intelligence	1819	Scenario		71	1	Success	
	1	2025-09-08 14:35:18,29	2025-09-08 14:35:18,29	50507	T4 Maintenance Scheduling	1816	Scenario		1	0	Success	
	1	2025-09-08 14:35:20,79	2025-09-08 14:35:20,79	50512	T4 Payment Processing	1815	Scenario		1	0	Success	
	1	2025-09-08 14:35:21,353	2025-09-08 14:35:21,353	50503	T4 Property Operations	1818	Scenario		0	0	Success	
	1	2025-09-08 14:34:51,853	2025-09-08 14:35:21,463	50518	T4 Data Aggregation	1812	Scenario		29610	10	Success	
	1	2025-09-08 14:35:22,027	2025-09-08 14:35:22,027	50502	T4 Lease Management	1813	Scenario		0	0	Success	
	1	2025-09-08 14:35:22,04	2025-09-08 14:35:22,04	50508	T4 Security Management	1814	Scenario		1	0	Success	
	1	2025-09-08 14:35:23,163	2025-09-08 14:35:23,217	50520	T4 Business Intelligence	1819	Scenario		56	1	Success	
	1	2025-09-08 14:35:22,57	2025-09-08 14:35:23,253	50519	T4 Report Generation	1817	Scenario		681	1	Success	
	1	2025-09-08 14:35:23,29	2025-09-08 14:35:23,29	50507	T4 Maintenance Scheduling	1816	Scenario		1	0	Success	
	1	2025-09-08 14:35:25,79	2025-09-08 14:35:25,79	50512	T4 Payment Processing	1815	Scenario		1	0	Success	
	1	2025-09-08 14:35:26,353	2025-09-08 14:35:26,353	50503	T4 Property Operations	1818	Scenario		0	0	Success	
	1	2025-09-08 14:35:27,04	2025-09-08 14:35:27,04	50508	T4 Security Management	1814	Scenario		1	0	Success	
	1	2025-09-08 14:35:27,04	2025-09-08 14:35:27,04	50502	T4 Lease Management	1813	Scenario		1	0	Success	
	1	2025-09-08 14:35:28,29	2025-09-08 14:35:28,29	50507	T4 Maintenance Scheduling	1816	Scenario		0	0	Success	
	1	2025-09-08 14:35:28,213	2025-09-08 14:35:28,3	50520	T4 Business Intelligence	1819	Scenario		87	1	Success	
	1	2025-09-08 14:35:28,26	2025-09-08 14:35:28,697	50519	T4 Report Generation	1817	Scenario		435	1	Success	
	1	2025-09-08 14:35:30,807	2025-09-08 14:35:30,807	50512	T4 Payment Processing	1815	Scenario		1	0	Success	
	1	2025-09-08 14:35:31,353	2025-09-08 14:35:31,353	50503	T4 Property Operations	1818	Scenario		1	0	Success	
	1	2025-09-08 14:35:32,04	2025-09-08 14:35:32,04	50508	T4 Security Management	1814	Scenario		1	0	Success	
	1	2025-09-08 14:35:32,073	2025-09-08 14:35:32,073	50502	T4 Lease Management	1813	Scenario		0	0	Success	
	1	2025-09-08 14:35:33,29	2025-09-08 14:35:33,29	50507	T4 Maintenance Scheduling	1816	Scenario		1	0	Success	
	1	2025-09-08 14:35:33,29	2025-09-08 14:35:33,603	50520	T4 Business Intelligence	1819	Scenario		312	1	Success	
	1	2025-09-08 14:35:33,713	2025-09-08 14:35:34,593	50519	T4 Report Generation	1817	Scenario		882	1	Success	
	1	2025-09-08 14:35:35,823	2025-09-08 14:35:35,823	50512	T4 Payment Processing	1815	Scenario		0	0	Success	
	1	2025-09-08 14:35:36,367	2025-09-08 14:35:36,37	50503	T4 Property Operations	1818	Scenario		1	0	Success	
	1	2025-09-08 14:35:37,04	2025-09-08 14:35:37,04	50508	T4 Security Management	1814	Scenario		1	0	Success	
