Codeunit ID	Codeunit Name	Parameters	No. of Sessions	Run in Foreground	Description	Status	Min. User Delay (ms)	Max. User Delay (ms)	Delay between iterations (sec.)	Delay Type	No. of Iterations	Total Duration (ms)	Average Duration (ms)	No. of SQL Statements	Avg. No. of SQL Statements	No. of Iterations Base	Total Duration Base (ms)	Average Duration Base (ms)	No. of SQL Statements Base	Avg. No. of SQL Statements Base	Change in No. of SQL Statements (%)	Change in Duration (%)
50401	T3 Rental Analytics		1	No		Completed	100	1000	5	Fixed	12	574835	47902	10049	837	0	0	0	0	0	0,00	0,00
50418	T3 Data Aggregation		1	No		Completed	100	1000	5	Fixed	26	478180	18391	34	1	0	0	0	0	0	0,00	0,00
50402	T3 Lease Management		1	No		Completed	100	1000	5	Fixed	115	28393	246	231	2	0	0	0	0	0	0,00	0,00
50408	T3 Security Management		1	No		Completed	100	1000	5	Fixed	14	546867	39061	28	2	0	0	0	0	0	0,00	0,00
50412	T3 Payment Processing		1	No		Completed	100	1000	5	Fixed	24	552862	23035	72	3	0	0	0	0	0	0,00	0,00
50407	T3 Maintenance Scheduling		1	No		Completed	100	1000	5	Fixed	121	310	2	2	0	0	0	0	0	0	0,00	0,00
50419	T3 Report Generation		1	No		Completed	100	1000	5	Fixed	2	625181	312590	308	154	0	0	0	0	0	0,00	0,00
50403	T3 Property Operations		1	No		Completed	100	1000	5	Fixed	49	369220	7535	100	2	0	0	0	0	0	0,00	0,00
50420	T3 Business Intelligence		1	No		Completed	100	1000	5	Fixed	119	9685	81	240	2	0	0	0	0	0	0,00	0,00
